index,Player,Summary_#,Nation,Summary_Pos,Age,Min,Summary_Gls,Summary_Ast,Summary_PK,Summary_PKatt,Summary_Sh,Summary_SoT,Summary_CrdY,Summary_CrdR,Summary_Touches,Summary_Tkl,Summary_Int,Summary_Blocks,Summary_xG,Summary_npxG,Summary_xAG,Summary_SCA,Summary_GCA,Summary_Cmp,Summary_pass_Att,Summary_Cmp%,Summary_PrgP,Summary_Carries,Summary_PrgC,Summary_takes_on_Att,Summary_Succ,Passing_#,Passing_Pos,Passing_total_Cmp,Passing_total_Att,Passing_total_Cmp%,Passing_TotDist,Passing_PrgDist,Passing_short_Cmp,Passing_short_Att,Passing_short_Cmp%,Passing_medium_Cmp,Passing_medium_Att,Passing_medium_Cmp%,Passing_long_Cmp,Passing_long_Att,Passing_long_Cmp%,Passing_Ast,Passing_xAG,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,Pass_Types_#,Pass_Types_Pos,Pass_Types_Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Pass_Types_In,Pass_Types_Out,Pass_Types_Str,Pass_Types_Cmp,Pass_Types_Off,Pass_Types_Blocks,Defensive_Actions_#,Defensive_Actions_Pos,Defensive_Actions_total_Tkl,Defensive_Actions_TklW,Defensive_Actions_Def 3rd,Defensive_Actions_Mid 3rd,Defensive_Actions_Att 3rd,Defensive_Actions_dribblers_Tkl,Defensive_Actions_Att,Defensive_Actions_Tkl%,Defensive_Actions_Lost,Defensive_Actions_Blocks,Defensive_Actions_Sh,Defensive_Actions_Pass,Defensive_Actions_Int,Defensive_Actions_Tkl+Int,Defensive_Actions_Clr,Defensive_Actions_Err,Possession_#,Possession_Pos,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Live,Possession_Att,Possession_Succ,Possession_Succ%,Possession_Tkld,Possession_Tkld%,Possession_Carries,Possession_TotDist,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Miscellaneous_Stats_#,Miscellaneous_Stats_Pos,Miscellaneous_Stats_CrdY,Miscellaneous_Stats_CrdR,Miscellaneous_Stats_2CrdY,Miscellaneous_Stats_Fls,Miscellaneous_Stats_Fld,Miscellaneous_Stats_Off,Miscellaneous_Stats_Crs,Miscellaneous_Stats_Int,Miscellaneous_Stats_TklW,Miscellaneous_Stats_PKwon,Miscellaneous_Stats_PKcon,Miscellaneous_Stats_OG,Miscellaneous_Stats_Recov,Miscellaneous_Stats_Won,Miscellaneous_Stats_Lost,Miscellaneous_Stats_Won%,Goalkeeping_SoTA,Goalkeeping_GA,Goalkeeping_Saves,Goalkeeping_Save%,Goalkeeping_PSxG,Goalkeeping_Cmp,Goalkeeping_Att,Goalkeeping_Cmp%,Goalkeeping_Att (GK),Goalkeeping_Thr,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Att,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Opp,Goalkeeping_Stp,Goalkeeping_Stp%,Goalkeeping_#OPA,Goalkeeping_AvgDist,home,game_id
10,Marvin Ducksch,7.0,de GER,FW,29-164,90,0,0,0,0,1,1,1,0,30,1,0,0,0.1,0.1,0.1,2,0,12,26,46.2,4,13,0,1,1,7.0,FW,12,26,46.2,210,71,5,7,71.4,6,11,54.5,1,5,20.0,0,0.1,0.1,1,1,2,0,4,7.0,FW,26,17,8,5,0,0,5,0,0,0,0,0,12,1,1,7.0,FW,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,7.0,FW,30,1,4,14,12,0,30,1,1,100.0,0,0.0,13,43,31,0,0,0,1,0,14,1,7.0,FW,1,0,0,1,0,1,5,0,1,0,0,0,3,0,2,0.0,,,,,,,,,,,,,,,,,,,,,1,0
11,Miloš Veljković,13.0,rs SRB,CB,27-326,90,0,0,0,0,0,0,0,0,32,2,0,2,0.0,0.0,0.0,0,0,21,25,84.0,3,20,0,0,0,13.0,CB,21,25,84.0,556,189,5,6,83.3,11,13,84.6,5,6,83.3,0,0.0,0.0,0,1,0,0,3,13.0,CB,25,24,1,1,0,3,0,0,0,0,0,0,21,0,0,13.0,CB,2,2,1,1,0,1,1,100.0,0,2,2,0,0,2,3,0,13.0,CB,32,5,20,12,0,0,32,0,0,,0,,20,201,153,0,0,0,0,0,20,1,13.0,CB,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,0
12,Mitchell Weiser,8.0,de GER,RW,29-119,58,0,0,0,0,1,0,0,0,29,5,0,1,0.0,0.0,0.0,2,0,8,16,50.0,2,13,1,1,1,8.0,RW,8,16,50.0,156,62,4,6,66.7,3,7,42.9,1,2,50.0,0,0.0,0.0,0,2,0,0,2,8.0,RW,16,13,3,0,0,1,1,3,0,0,0,0,8,0,1,8.0,RW,5,3,2,3,0,2,4,50.0,2,1,0,1,0,5,0,0,8.0,RW,29,3,5,14,11,1,29,1,1,100.0,0,0.0,13,79,23,1,1,0,0,1,12,6,8.0,RW,0,0,0,2,2,0,1,0,3,0,0,0,6,1,2,33.3,,,,,,,,,,,,,,,,,,,,,1,0
13,Niclas Füllkrug,11.0,de GER,FW,30-190,90,0,0,0,0,1,0,0,0,30,1,0,0,0.1,0.1,0.2,3,0,15,22,68.2,4,16,1,1,0,11.0,FW,15,22,68.2,278,109,5,8,62.5,9,12,75.0,1,1,100.0,0,0.2,0.3,1,3,1,0,4,11.0,FW,22,21,1,0,0,0,0,0,0,0,0,0,15,0,1,11.0,FW,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,11.0,FW,30,1,1,18,11,1,30,1,0,0.0,1,100.0,16,51,24,1,0,0,2,0,26,7,11.0,FW,0,0,0,1,5,1,0,0,1,0,0,0,0,8,7,53.3,,,,,,,,,,,,,,,,,,,,,1,0
14,Oliver Burke,24.0,sct SCO,RW,26-133,32,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,6,12,50.0,0,7,2,1,1,24.0,RW,6,12,50.0,98,18,2,4,50.0,4,6,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,24.0,RW,12,8,4,0,0,0,2,4,0,0,0,0,6,0,0,24.0,RW,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,24.0,RW,13,0,1,10,2,0,13,1,1,100.0,0,0.0,7,51,24,2,1,0,0,0,6,1,24.0,RW,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,1,0
15,Romano Schmid,20.0,at AUT,CM,23-203,23,0,0,0,0,1,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,6,0,1,0,20.0,CM,4,5,80.0,62,13,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,20.0,CM,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0,20.0,CM,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,20.0,CM,11,1,1,3,7,2,11,1,0,0.0,0,0.0,6,15,10,0,1,0,1,0,7,1,20.0,CM,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,1,0
0,16 Players,,,,,990,4,4,0,0,25,10,1,0,811,3,6,7,2.9,2.9,2.8,48,8,629,707,89.0,52,621,46,41,20,,,629,707,89.0,10584,3649,294,313,93.9,276,299,92.3,46,64,71.9,4,2.8,2.3,23,48,11,1,52,,,707,655,52,19,2,2,18,21,6,2,4,0,629,0,12,,,3,2,1,2,0,2,5,40.0,3,7,0,7,6,9,9,0,,,811,60,194,387,244,42,811,41,20,48.8,18,43.9,621,3596,1799,46,35,19,11,11,622,51,,,1,0,0,11,17,0,18,6,2,0,0,0,61,17,15,53.1,,,,,,,,,,,,,,,,,,,,,0,0
1,Alphonso Davies,19.0,ca CAN,LB,22-289,90,0,2,0,0,0,0,0,0,90,1,0,1,0.0,0.0,0.5,9,2,69,79,87.3,6,65,10,9,5,19.0,LB,69,79,87.3,953,248,43,50,86.0,24,25,96.0,1,2,50.0,2,0.5,0.3,8,2,2,0,6,19.0,LB,79,68,11,0,0,0,1,11,0,0,0,0,69,0,1,19.0,LB,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,0,0,19.0,LB,90,1,15,40,36,6,90,9,5,55.6,4,44.4,65,547,361,10,8,5,0,2,62,6,19.0,LB,0,0,0,2,1,0,1,0,0,0,0,0,7,2,1,66.7,,,,,,,,,,,,,,,,,,,,,0,0
2,Dayot Upamecano,2.0,fr FRA,CB,24-295,90,0,0,0,0,0,0,0,0,83,0,0,0,0.0,0.0,0.0,1,0,76,78,97.4,5,71,0,0,0,2.0,CB,76,78,97.4,1516,583,25,26,96.2,42,43,97.7,9,9,100.0,0,0.0,0.0,0,6,0,0,5,2.0,CB,78,77,1,0,0,0,0,1,0,0,0,0,76,0,0,2.0,CB,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,2.0,CB,83,6,31,53,0,0,83,0,0,,0,,71,299,112,0,0,0,1,0,71,0,2.0,CB,0,0,0,2,1,0,0,0,0,0,0,0,7,3,2,60.0,,,,,,,,,,,,,,,,,,,,,0,0
3,Eric Maxim Choupo-Moting,13.0,cm CMR,LW,34-148,7,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,1,6,6,100.0,1,8,0,4,1,13.0,LW,6,6,100.0,98,34,4,4,100.0,1,1,100.0,1,1,100.0,0,0.0,0.1,0,0,1,0,1,13.0,LW,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,13.0,LW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13.0,LW,11,1,1,6,4,2,11,4,1,25.0,2,50.0,8,56,25,0,0,1,1,0,8,2,13.0,LW,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
4,Harry Kane,9.0,eng ENG,FW,30-021,83,1,1,0,0,6,3,0,0,30,0,0,0,0.5,0.5,0.6,3,1,15,21,71.4,1,24,2,0,0,9.0,FW,15,21,71.4,317,108,5,6,83.3,7,10,70.0,2,2,100.0,1,0.6,0.2,1,2,0,0,1,9.0,FW,21,19,2,1,2,1,1,1,0,0,0,0,15,0,1,9.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,9.0,FW,30,2,3,10,18,5,30,0,0,,0,,24,106,50,2,1,1,0,1,24,5,9.0,FW,0,0,0,0,2,0,1,0,0,0,0,0,2,2,1,66.7,,,,,,,,,,,,,,,,,,,,,0,0
5,Jamal Musiala,42.0,de GER,AM,20-173,83,0,0,0,0,3,0,0,0,42,1,0,2,0.1,0.1,0.1,6,0,20,24,83.3,3,34,6,14,7,42.0,AM,20,24,83.3,248,82,14,16,87.5,6,7,85.7,0,0,,0,0.1,0.2,2,0,3,0,3,42.0,AM,24,24,0,0,0,0,0,0,0,0,0,0,20,0,1,42.0,AM,1,1,0,1,0,1,1,100.0,0,2,0,2,0,1,0,0,42.0,AM,42,0,6,19,22,3,42,14,7,50.0,6,42.9,34,267,165,6,5,2,3,2,32,2,42.0,AM,0,0,0,1,2,0,0,0,1,0,0,0,6,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,0
6,Joshua Kimmich,6.0,de GER,DM,28-191,90,0,0,0,0,2,0,0,0,121,0,1,0,0.1,0.1,0.2,6,0,104,114,91.2,11,86,2,2,0,6.0,DM,104,114,91.2,2010,477,37,38,97.4,51,53,96.2,13,18,72.2,0,0.2,0.2,4,11,0,0,11,6.0,DM,114,97,17,11,0,0,7,1,5,2,3,0,104,0,1,6.0,DM,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,6.0,DM,121,4,21,76,25,0,121,2,0,0.0,1,50.0,86,486,153,2,3,0,0,1,90,1,6.0,DM,0,0,0,0,2,0,7,1,0,0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
7,Kim Min-jae,3.0,kr KOR,CB,26-276,67,0,0,0,0,1,1,1,0,75,0,0,0,0.1,0.1,0.1,2,0,68,72,94.4,4,57,0,0,0,3.0,CB,68,72,94.4,1189,744,31,33,93.9,33,35,94.3,4,4,100.0,0,0.1,0.0,2,6,0,0,4,3.0,CB,72,71,1,1,0,0,0,0,0,0,0,0,68,0,0,3.0,CB,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,3.0,CB,75,10,35,39,2,1,75,0,0,,0,,57,194,79,0,1,0,1,0,57,0,3.0,CB,1,0,0,3,0,0,0,0,0,0,0,0,7,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,0
8,Kingsley Coman,11.0,fr FRA,LW,27-066,83,0,0,0,0,2,0,0,0,60,0,0,1,0.1,0.1,0.2,6,1,42,51,82.4,4,54,7,3,1,11.0,LW,42,51,82.4,545,74,25,26,96.2,15,17,88.2,0,3,0.0,0,0.2,0.3,3,2,1,0,4,11.0,LW,51,51,0,0,0,0,4,0,0,0,0,0,42,0,2,11.0,LW,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,11.0,LW,60,0,6,18,37,12,60,3,1,33.3,2,66.7,54,346,163,7,3,6,1,2,54,17,11.0,LW,0,0,0,0,4,0,4,0,0,0,0,0,3,1,1,50.0,,,,,,,,,,,,,,,,,,,,,0,0
9,Konrad Laimer,27.0,at AUT,DM,26-083,12,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,8,10,80.0,2,10,1,2,1,27.0,DM,8,10,80.0,103,38,5,5,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,1,0,0,2,27.0,DM,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,27.0,DM,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,27.0,DM,14,1,4,5,5,0,14,2,1,50.0,1,50.0,10,60,31,1,0,0,1,0,10,1,27.0,DM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,0
10,Leon Goretzka,8.0,de GER,DM,28-193,78,0,0,0,0,3,1,0,0,78,0,4,0,0.2,0.2,0.0,3,0,64,66,97.0,3,58,3,1,1,8.0,DM,64,66,97.0,1080,164,28,29,96.6,31,32,96.9,5,5,100.0,0,0.0,0.1,0,10,1,0,3,8.0,DM,66,63,3,3,0,0,0,0,0,0,0,0,64,0,0,8.0,DM,0,0,0,0,0,0,0,,0,0,0,0,4,4,1,0,8.0,DM,78,4,17,45,17,2,78,1,1,100.0,0,0.0,58,328,187,3,5,0,3,0,59,2,8.0,DM,0,0,0,0,1,0,0,4,0,0,0,0,9,2,4,33.3,,,,,,,,,,,,,,,,,,,,,0,0
11,Leroy Sané,10.0,de GER,RW,27-219,90,2,0,0,0,3,3,0,0,53,0,0,0,1.3,1.3,0.1,5,1,33,44,75.0,3,39,3,4,2,10.0,RW,33,44,75.0,504,102,18,21,85.7,11,13,84.6,2,3,66.7,0,0.1,0.1,1,2,0,0,3,10.0,RW,44,42,2,0,0,0,2,0,1,0,1,0,33,0,3,10.0,RW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10.0,RW,53,0,2,20,32,2,53,4,2,50.0,2,50.0,39,297,144,3,4,1,0,1,43,7,10.0,RW,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
12,Mathys Tel,39.0,fr FRA,FW,18-113,7,1,0,0,0,2,1,0,0,11,0,0,1,0.1,0.1,0.0,2,1,7,8,87.5,0,10,1,1,1,39.0,FW,7,8,87.5,95,6,4,4,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0,39.0,FW,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,39.0,FW,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,39.0,FW,11,0,0,5,7,4,11,1,1,100.0,0,0.0,10,38,10,1,0,1,0,0,10,1,39.0,FW,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
13,Matthijs de Ligt,4.0,nl NED,CB,24-006,23,0,0,0,0,1,0,0,0,17,0,1,0,0.0,0.0,0.0,0,0,14,15,93.3,0,11,0,0,0,4.0,CB,14,15,93.3,263,134,5,5,100.0,8,9,88.9,1,1,100.0,0,0.0,0.0,0,0,0,0,0,4.0,CB,15,15,0,0,0,1,0,0,0,0,0,0,14,0,0,4.0,CB,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,4.0,CB,17,2,10,6,1,1,17,0,0,,0,,11,30,11,0,0,0,0,0,12,0,4.0,CB,0,0,0,1,0,0,0,1,0,0,0,0,1,2,3,40.0,,,,,,,,,,,,,,,,,,,,,0,0
14,Noussair Mazraoui,40.0,ma MAR,RB,25-277,90,0,0,0,0,2,1,0,0,79,1,0,1,0.4,0.4,0.0,2,0,65,72,90.3,7,58,8,1,1,40.0,RB,65,72,90.3,913,341,37,37,100.0,24,28,85.7,2,2,100.0,0,0.0,0.2,0,4,3,1,7,40.0,RB,72,64,8,1,0,0,2,7,0,0,0,0,65,0,3,40.0,RB,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,40.0,RB,79,0,7,40,32,3,79,1,1,100.0,0,0.0,58,368,195,8,2,2,0,2,57,5,40.0,RB,0,0,0,1,2,0,2,0,1,0,0,0,5,2,1,66.7,,,,,,,,,,,,,,,,,,,,,0,0
