index,Player,Summary_#,Nation,Summary_Pos,Age,Min,Summary_Gls,Summary_Ast,Summary_PK,Summary_PKatt,Summary_Sh,Summary_SoT,Summary_CrdY,Summary_CrdR,Summary_Touches,Summary_Tkl,Summary_Int,Summary_Blocks,Summary_xG,Summary_npxG,Summary_xAG,Summary_SCA,Summary_GCA,Summary_Cmp,Summary_Att,Summary_Cmp%,Summary_PrgP,Summary_Carries,Summary_PrgC,Summary_Att,Summary_Succ,Passing_#,Passing_Pos,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_TotDist,Passing_PrgDist,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Ast,Passing_xAG,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,Pass_Types_#,Pass_Types_Pos,Pass_Types_Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Pass_Types_In,Pass_Types_Out,Pass_Types_Str,Pass_Types_Cmp,Pass_Types_Off,Pass_Types_Blocks,Defensive_Actions_#,Defensive_Actions_Pos,Defensive_Actions_Tkl,Defensive_Actions_TklW,Defensive_Actions_Def 3rd,Defensive_Actions_Mid 3rd,Defensive_Actions_Att 3rd,Defensive_Actions_Tkl,Defensive_Actions_Att,Defensive_Actions_Tkl%,Defensive_Actions_Lost,Defensive_Actions_Blocks,Defensive_Actions_Sh,Defensive_Actions_Pass,Defensive_Actions_Int,Defensive_Actions_Tkl+Int,Defensive_Actions_Clr,Defensive_Actions_Err,Possession_#,Possession_Pos,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Live,Possession_Att,Possession_Succ,Possession_Succ%,Possession_Tkld,Possession_Tkld%,Possession_Carries,Possession_TotDist,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Miscellaneous_Stats_#,Miscellaneous_Stats_Pos,Miscellaneous_Stats_CrdY,Miscellaneous_Stats_CrdR,Miscellaneous_Stats_2CrdY,Miscellaneous_Stats_Fls,Miscellaneous_Stats_Fld,Miscellaneous_Stats_Off,Miscellaneous_Stats_Crs,Miscellaneous_Stats_Int,Miscellaneous_Stats_TklW,Miscellaneous_Stats_PKwon,Miscellaneous_Stats_PKcon,Miscellaneous_Stats_OG,Miscellaneous_Stats_Recov,Miscellaneous_Stats_Won,Miscellaneous_Stats_Lost,Miscellaneous_Stats_Won%,Goalkeeping_SoTA,Goalkeeping_GA,Goalkeeping_Saves,Goalkeeping_Save%,Goalkeeping_PSxG,Goalkeeping_Cmp,Goalkeeping_Att,Goalkeeping_Cmp%,Goalkeeping_Att (GK),Goalkeeping_Thr,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Att,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Opp,Goalkeeping_Stp,Goalkeeping_Stp%,Goalkeeping_#OPA,Goalkeeping_AvgDist,home,game_id
10,Miguel Ángel Guerrero,9.0,es ESP,FW,27-037,90,0,0,0,0,4,1,0,0,37,1,1,1,0.3,0.3,0.0,2,1,20,26,76.9,1,15,1,2,0,9.0,FW,20,26,76.9,199,29,16,19,84.2,3,5,60.0,0,0,,0,0.0,0.0,0,4,0,0,1,9.0,FW,26,26,0,0,0,0,0,0,0,0,0,0,20,0,1,9.0,FW,1,1,0,0,1,0,0,,0,1,0,1,1,2,0,0,9.0,FW,37,0,0,19,18,5,37,2,0,0.0,2,100.0,15,86,35,1,1,0,2,0,27,10,9.0,FW,0,0,0,2,2,3,0,1,1,0,0,0,4,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,0
11,Nabil El Zhar,10.0,ma MAR,RW,30-356,21,0,0,0,0,1,0,0,0,18,1,1,0,0.1,0.1,0.1,2,0,9,10,90.0,2,10,0,2,0,10.0,RW,9,10,90.0,117,43,8,9,88.9,1,1,100.0,0,0,,0,0.1,0.0,1,2,1,0,2,10.0,RW,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,10.0,RW,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,10.0,RW,18,0,2,10,6,2,18,2,0,0.0,2,100.0,10,43,12,0,0,0,1,0,12,1,10.0,RW,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,0
12,Omar Ramos,23.0,es ESP,RW,29-204,64,0,0,0,0,1,0,0,0,38,2,1,1,0.0,0.0,0.0,5,0,17,23,73.9,5,22,0,3,1,23.0,RW,17,23,73.9,388,188,9,12,75.0,5,6,83.3,3,5,60.0,0,0.0,0.1,2,4,3,0,5,23.0,RW,23,19,4,1,0,2,3,1,2,0,1,0,17,0,0,23.0,RW,2,2,1,0,1,1,2,50.0,1,1,0,1,1,3,0,0,23.0,RW,38,1,6,14,18,0,38,3,1,33.3,2,66.7,22,121,23,0,0,0,7,1,24,5,23.0,RW,0,0,0,1,3,0,3,1,2,0,0,0,4,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,0
13,Rubén Pérez,21.0,es ESP,DM,28-114,90,0,0,0,0,1,0,0,0,61,4,1,3,0.0,0.0,0.0,1,0,34,52,65.4,6,20,0,1,1,21.0,DM,34,52,65.4,679,268,12,18,66.7,17,21,81.0,4,11,36.4,0,0.0,0.0,0,8,0,0,6,21.0,DM,52,52,0,0,0,1,0,0,0,0,0,0,34,0,1,21.0,DM,4,4,2,2,0,2,5,40.0,3,3,1,2,1,5,0,0,21.0,DM,61,3,17,43,2,0,61,1,1,100.0,0,0.0,20,137,55,0,0,0,0,2,27,0,21.0,DM,0,0,0,2,1,0,0,1,4,0,0,0,9,5,1,83.3,,,,,,,,,,,,,,,,,,,,,1,0
0,14 Players,,,,,990,0,0,0,1,8,4,1,0,503,19,14,14,1.1,0.4,0.3,15,0,252,385,65.5,18,235,10,18,8,,,252,385,65.5,4587,1900,119,145,82.1,98,138,71.0,33,82,40.2,0,0.3,0.4,7,19,2,0,18,,,385,330,55,19,1,5,10,25,2,1,0,1,252,0,10,,,19,13,10,9,0,8,15,53.3,7,14,5,9,14,33,17,1,,,503,47,200,222,89,10,502,18,8,44.4,10,55.6,235,1359,652,10,8,4,19,13,250,18,,,1,0,0,17,17,0,10,14,13,1,0,0,60,16,30,34.8,,,,,,,,,,,,,,,,,,,,,0,0
1,Alexis,4.0,es ESP,CB,32-014,90,0,0,0,0,0,0,0,0,46,0,4,2,0.0,0.0,0.0,0,0,29,38,76.3,0,23,0,0,0,4.0,CB,29,38,76.3,649,251,7,8,87.5,16,18,88.9,6,12,50.0,0,0.0,0.0,0,1,0,0,0,4.0,CB,38,34,4,4,0,2,0,0,0,0,0,0,29,0,0,4.0,CB,0,0,0,0,0,0,0,,0,2,1,1,4,4,2,0,4.0,CB,46,3,32,15,0,0,46,0,0,,0,,23,97,42,0,0,0,0,0,26,0,4.0,CB,0,0,0,0,1,0,0,4,0,0,0,0,3,1,1,50.0,,,,,,,,,,,,,,,,,,,,,0,0
2,Alfonso Pedraza,17.0,es ESP,LB,21-131,74,0,0,0,0,0,0,0,0,45,1,2,0,0.0,0.0,0.0,1,0,22,40,55.0,4,21,2,5,4,17.0,LB,22,40,55.0,316,153,12,14,85.7,8,18,44.4,1,3,33.3,0,0.0,0.0,1,1,1,0,4,17.0,LB,40,31,9,2,0,0,3,7,0,0,0,0,22,0,4,17.0,LB,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,1,0,17.0,LB,45,1,12,26,8,1,45,5,4,80.0,1,20.0,21,155,97,2,1,1,0,1,20,1,17.0,LB,0,0,0,1,3,0,3,2,1,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
3,Burgui,14.0,es ESP,"RM,FW",23-293,90,0,0,0,0,1,0,0,0,32,0,0,0,0.0,0.0,0.2,5,0,15,22,68.2,1,25,3,3,0,14.0,"RM,FW",15,22,68.2,219,105,10,13,76.9,4,5,80.0,1,1,100.0,0,0.2,0.3,3,1,1,0,1,14.0,"RM,FW",22,21,1,0,1,0,1,1,0,0,0,0,15,0,3,14.0,"RM,FW",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14.0,"RM,FW",32,0,3,16,15,2,32,3,0,0.0,3,100.0,25,144,67,3,1,2,1,3,25,5,14.0,"RM,FW",0,0,0,0,3,0,1,0,0,1,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
4,Carlos Vigaray,2.0,es ESP,RB,22-345,90,0,0,0,0,0,0,0,0,45,1,0,1,0.0,0.0,0.0,1,0,18,38,47.4,3,16,3,1,0,2.0,RB,18,38,47.4,282,96,10,14,71.4,7,17,41.2,1,3,33.3,0,0.0,0.0,0,3,0,0,3,2.0,RB,38,26,12,0,0,0,1,12,0,0,0,0,18,0,2,2.0,RB,1,1,0,1,0,0,0,,0,1,0,1,0,1,3,0,2.0,RB,45,2,15,23,7,0,45,1,0,0.0,1,100.0,16,124,67,3,0,0,0,1,16,1,2.0,RB,0,0,0,0,3,0,1,0,1,0,0,0,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,0,0
5,Christian Santos,9.0,ve VEN,FW,29-147,90,0,0,0,0,1,1,0,0,24,0,0,1,0.0,0.0,0.0,0,0,11,18,61.1,0,5,0,0,0,9.0,FW,11,18,61.1,121,10,8,12,66.7,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,9.0,FW,18,18,0,0,0,0,0,0,0,0,0,0,11,0,0,9.0,FW,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,9.0,FW,24,0,0,16,8,1,24,0,0,,0,,5,9,2,0,0,0,3,0,17,2,9.0,FW,0,0,0,4,0,0,0,0,0,0,0,0,1,7,16,30.4,,,,,,,,,,,,,,,,,,,,,0,0
6,Fernando Pacheco,1.0,es ESP,GK,25-092,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,21,37,56.8,0,17,0,0,0,1.0,GK,21,37,56.8,518,432,10,10,100.0,5,5,100.0,6,22,27.3,0,0.0,0.0,0,0,0,0,0,1.0,GK,37,23,14,7,0,0,0,0,0,0,0,0,21,0,0,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1.0,GK,38,29,38,0,0,0,38,0,0,,0,,17,145,127,0,0,0,0,0,16,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,3.0,1.0,2.0,66.7,1.0,5.0,21.0,23.8,30.0,4.0,46.7,33.0,7.0,100.0,57.3,11.0,1.0,9.1,2.0,14.3,0,0
7,Héctor Hernández,20.0,es ESP,LB,26-087,16,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,20.0,LB,2,2,100.0,47,26,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,20.0,LB,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,20.0,LB,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,20.0,LB,6,1,3,2,1,0,6,0,0,,0,,1,0,0,0,0,0,2,0,1,0,20.0,LB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
8,Ibai Gómez,11.0,es ESP,LM,27-280,90,0,0,0,0,1,0,0,0,40,0,1,1,0.0,0.0,0.0,1,0,20,29,69.0,4,20,0,1,1,11.0,LM,20,29,69.0,289,95,13,13,100.0,6,8,75.0,1,6,16.7,0,0.0,0.0,0,5,0,0,4,11.0,LM,29,23,6,2,0,1,3,1,2,1,0,1,20,0,0,11.0,LM,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,11.0,LM,40,1,6,22,12,0,40,1,1,100.0,0,0.0,20,57,27,0,1,0,2,2,22,4,11.0,LM,0,0,0,2,2,0,3,1,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
9,Manu García,19.0,es ESP,CM,31-114,90,0,0,0,1,0,0,0,0,48,7,2,4,0.8,0.0,0.0,1,0,26,34,76.5,1,23,1,0,0,19.0,CM,26,34,76.5,434,107,14,16,87.5,10,12,83.3,2,4,50.0,0,0.0,0.0,0,3,0,0,1,19.0,CM,34,33,1,0,0,0,0,1,0,0,0,0,26,0,1,19.0,CM,7,4,3,4,0,1,2,50.0,1,4,1,3,2,9,1,0,19.0,CM,48,1,19,26,4,1,47,0,0,,0,,23,126,51,1,0,0,1,0,21,0,19.0,CM,0,0,0,1,2,0,0,2,4,0,0,0,4,2,2,50.0,,,,,,,,,,,,,,,,,,,,,0,0
10,Rodrigo Ely,12.0,br BRA,CB,23-288,90,0,0,0,0,1,1,0,0,70,2,2,2,0.0,0.0,0.0,0,0,37,56,66.1,0,32,0,0,0,12.0,CB,37,56,66.1,849,335,5,8,62.5,24,30,80.0,8,18,44.4,0,0.0,0.0,0,2,0,0,0,12.0,CB,56,53,3,3,0,1,0,0,0,0,0,0,37,0,0,12.0,CB,2,1,2,0,0,2,2,100.0,0,2,2,0,2,4,3,0,12.0,CB,70,4,47,20,3,2,70,0,0,,0,,32,161,94,0,1,0,1,0,30,1,12.0,CB,0,0,0,1,1,0,0,2,1,0,0,0,8,4,1,80.0,,,,,,,,,,,,,,,,,,,,,0,0
11,Rubén Sobrino,7.0,es ESP,FW,25-078,61,0,0,0,0,1,1,0,0,29,4,0,1,0.1,0.1,0.0,0,0,10,15,66.7,1,12,1,5,2,7.0,FW,10,15,66.7,110,16,9,10,90.0,1,5,20.0,0,0,,0,0.0,0.0,0,0,0,0,1,7.0,FW,15,14,1,0,0,0,1,0,0,0,0,0,10,0,0,7.0,FW,4,2,1,3,0,1,2,50.0,1,1,1,0,0,4,1,0,7.0,FW,29,0,5,15,11,2,29,5,2,40.0,3,60.0,12,158,20,1,3,1,3,3,19,3,7.0,FW,0,0,0,0,0,0,1,0,2,0,0,0,5,1,4,20.0,,,,,,,,,,,,,,,,,,,,,0,0
12,Tomás Pina Isla,18.0,es ESP,CM,29-308,28,0,0,0,0,1,0,0,0,16,1,0,0,0.1,0.1,0.0,0,0,11,13,84.6,2,13,0,0,0,18.0,CM,11,13,84.6,184,81,7,8,87.5,3,3,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,2,18.0,CM,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0,18.0,CM,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,18.0,CM,16,2,5,9,2,1,16,0,0,,0,,13,50,17,0,0,0,0,1,10,0,18.0,CM,0,0,0,3,0,0,0,0,1,0,0,0,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,0,0
13,Wakaso,22.0,gh GHA,CM,27-024,62,0,0,0,0,1,0,1,0,46,2,3,1,0.0,0.0,0.0,3,0,26,37,70.3,2,18,0,0,0,22.0,CM,26,37,70.3,460,148,13,17,76.5,10,12,83.3,3,8,37.5,0,0.0,0.0,1,2,0,0,2,22.0,CM,37,35,2,0,0,1,1,2,0,0,0,0,26,0,0,22.0,CM,2,2,2,0,0,1,4,25.0,3,1,0,1,3,5,1,0,22.0,CM,46,3,15,24,8,0,46,0,0,,0,,18,76,36,0,0,0,1,0,17,0,22.0,CM,1,0,0,3,2,0,1,3,2,0,0,0,8,0,4,0.0,,,,,,,,,,,,,,,,,,,,,0,0
0,14 Players,,,,,990,1,1,0,0,22,6,3,0,580,16,15,13,1.4,1.4,1.2,38,2,387,480,80.6,44,312,29,12,5,,,387,480,80.6,6537,2505,198,218,90.8,134,157,85.4,42,67,62.7,1,1.2,1.3,17,39,9,1,44,,,480,446,32,12,4,4,15,12,5,2,2,0,387,2,14,,,16,9,8,6,2,9,18,50.0,9,13,0,13,15,31,16,0,,,580,33,146,277,169,34,580,12,5,41.7,7,58.3,312,2162,1122,29,24,11,10,10,386,44,,,3,0,0,25,13,2,15,15,9,0,0,0,54,8,6,57.1,,,,,,,,,,,,,,,,,,,,,1,1
1,Carlos Soler,18.0,es ESP,"LM,CM",20-228,88,0,1,0,0,1,0,0,0,53,1,0,0,0.0,0.0,0.3,8,1,45,49,91.8,6,36,4,1,1,18.0,"LM,CM",45,49,91.8,593,206,34,35,97.1,9,10,90.0,2,3,66.7,1,0.3,0.3,6,4,3,0,6,18.0,"LM,CM",49,48,1,1,1,0,0,0,0,0,0,0,45,0,1,18.0,"LM,CM",1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0,18.0,"LM,CM",53,0,6,29,21,0,53,1,1,100.0,0,0.0,36,270,171,4,3,0,2,2,46,3,18.0,"LM,CM",0,0,0,4,1,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,1,1
2,Daniel Parejo,10.0,es ESP,CM,28-124,90,0,0,0,0,2,0,1,0,89,2,1,2,0.1,0.1,0.1,6,0,73,82,89.0,11,42,0,0,0,10.0,CM,73,82,89.0,1303,546,32,34,94.1,29,32,90.6,8,10,80.0,0,0.1,0.2,3,8,1,0,11,10.0,CM,82,73,9,3,0,1,4,1,5,2,2,0,73,0,0,10.0,CM,2,1,1,1,0,1,4,25.0,3,2,0,2,1,3,0,0,10.0,CM,89,0,17,55,19,0,89,0,0,,0,,42,218,65,0,2,0,0,2,57,1,10.0,CM,1,0,0,3,0,0,4,1,1,0,0,0,10,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,1
